,id,link,title,month,year,tag,lang,dirty,cleared_title,equals_persian_links,equals_persian_links_counts,persian_year
66,193,https://www.bbc.com/tajik/news/2015/02/150214_mm_obama_muslim_students,150214_mm_obama_muslim_students,02,2015,news,tajik,mm,obama_muslim_students,['https://www.bbc.com/persian/world/2015/02/150213_obama_muslim_students'],1,2015
67,195,https://www.bbc.com/tajik/news/2015/02/150213_ea_us_welcomes_ukraine_peace_minsk,150213_ea_us_welcomes_ukraine_peace_minsk,02,2015,news,tajik,ea,us_welcomes_ukraine_peace_minsk,['https://www.bbc.com/persian/world/2015/02/150212_u14_us_welcomes_ukraine_peace_minsk'],1,2015
68,201,https://www.bbc.com/tajik/news/2015/02/150212_ea_ukraine_agreement,150212_ea_ukraine_agreement,02,2015,news,tajik,ea,ukraine_agreement,['https://www.bbc.com/persian/world/2015/02/150212_l03_ukraine_agreement'],1,2015
69,202,https://www.bbc.com/tajik/news/2015/02/150211_l16_an_shootings_us_muslims,150211_l16_an_shootings_us_muslims,02,2015,news,tajik,l16,an_shootings_us_muslims,['https://www.bbc.com/persian/world/2015/02/150211_an_shootings_us_muslims'],1,2015
70,203,https://www.bbc.com/tajik/news/2015/02/150211_l16_an_migrants_boat_missing,150211_l16_an_migrants_boat_missing,02,2015,news,tajik,l16,an_migrants_boat_missing,['https://www.bbc.com/persian/world/2015/02/150211_an_migrants_boat_missing'],1,2015
71,204,https://www.bbc.com/tajik/news/2015/02/150211_l16_an_ukraine_putin_usa_russia,150211_l16_an_ukraine_putin_usa_russia,02,2015,news,tajik,l16,an_ukraine_putin_usa_russia,['https://www.bbc.com/persian/world/2015/02/150211_an_ukraine_putin_usa_russia'],1,2015
72,207,https://www.bbc.com/tajik/news/2015/02/150211_sq_l26_us_hostage_islamic_state_kayla_mueller_death,150211_sq_l26_us_hostage_islamic_state_kayla_mueller_death,02,2015,news,tajik,sq,us_hostage_islamic_state_kayla_mueller_death,['https://www.bbc.com/persian/world/2015/02/150210_l26_us_hostage_islamic_state_kayla_mueller_death'],1,2015
73,210,https://www.bbc.com/tajik/news/2015/02/150210_l16_assad_bbc_interview,150210_l16_assad_bbc_interview,02,2015,news,tajik,l16,assad_bbc_interview,['https://www.bbc.com/persian/iran/2015/02/150210_l03_assad_bbc_interview'],1,2015
74,211,https://www.bbc.com/tajik/news/2015/02/150210_ea_rouhani_iran_nuclear_talks,150210_ea_rouhani_iran_nuclear_talks,02,2015,news,tajik,ea,rouhani_iran_nuclear_talks,['https://www.bbc.com/persian/iran/2015/02/150210_l26_rouhani_iran_nuclear_talks'],1,2015
75,215,https://www.bbc.com/tajik/news/2015/02/150210_ea_ravansar_assassination,150210_ea_ravansar_assassination,02,2015,news,tajik,ea,ravansar_assassination,['https://www.bbc.com/persian/iran/2015/02/150210_l03_ravansar_assassination'],1,2015
76,217,https://www.bbc.com/tajik/news/2015/02/150209_l16_samsung_tv_listening_,150209_l16_samsung_tv_listening_,02,2015,news,tajik,l16,samsung_tv_listening,['https://www.bbc.com/persian/science/2015/02/150209_l26_samsung_tv_listening_'],1,2015
