30491,2011-12-07 13:03:20+00:00,bbcpersian,['http://bbc.in/rKr6X3'],روسیه در قبال تحریم احتمالی نفت ایران 'بی‌طرف' می‌ماند: روسیه با هشدار نسبت به 'سیاسی کردن' بخش انرژی اعلام کرد ... http://t.co/cDfGnDnK
30492,2011-12-07 12:31:42+00:00,bbcpersian,['http://bbc.in/vSaO0p'],چین صادرات به کشورهای در حال توسعه را افزایش می دهد: چین گفته است به منظور جبران کاهش صادرات این کشور به دلیل رک... http://t.co/fvizs8X2
30493,2011-12-07 11:27:46+00:00,bbcpersian,['http://bbc.in/tNACCe'],انفجار کنار جاده ای در هلمند ۱۹ غیرنظامی را کشت: مقام‌های افغانستان می‌گویند انفجار بمب کنار جاده ای در هلمند می... http://t.co/EDCPxTFe
30494,2011-12-07 10:24:41+00:00,bbcpersian,['http://bbc.in/rQ2egy'],بررسی روزنامه‌های تهران: چهارشنبه ۱۶ آذر: بررسی روزنامه‌های تهران: چهارشنبه ۱۶ آذر http://t.co/nrWfHU7t
30495,2011-12-07 09:53:01+00:00,bbcpersian,['http://bbc.in/udIy3J'],معترضان به نتیجه انتخابات پارلمانی روسیه: تظاهرات ادامه خواهد یافت: معترضان به نتیجه انتخابات پارلمانی روسیه که ... http://t.co/FEDnkwED
30496,2011-12-07 06:40:13+00:00,bbcpersian,['http://bbc.in/sujBNj'],روزنامه های کابل: چهارشنبه، ۱۶ قوس: روزنامه های کابل: چهارشنبه، ۱۶ قوس http://t.co/e5JY0sqr
30497,2011-12-07 05:05:08+00:00,bbcpersian,['http://bbc.in/tFDe9l'],انتقاد تند اوباما از طرح های اقتصادی جمهوری خواهان: باراک اوباما، رئیس جمهوری آمریکا، با انتقاد تند از طرح های ا... http://t.co/fklMOLtM
30498,2011-12-07 03:30:10+00:00,bbcpersian,['http://bbc.in/vV2gkm'],ارتباط بیش از ۴۰ درصد موارد سرطان به عادات زندگی: در سال نزديک به نيمی از بيمارانی که در بريتانيا به سرطان مبتلا... http://t.co/c01RsHRC
30499,2011-12-06 23:18:24+00:00,bbcpersian,['http://bbc.in/s86jTl'],بیانیه جمعی از مخالفان جنگ در محکومیت حمله به سفارت بریتانیا: بیش از دویست نفر از روزنامه نگاران، فعالان سیاسی و... http://t.co/wh08W43T
30500,2011-12-06 21:43:13+00:00,bbcpersian,['http://bbc.in/uLBjtf'],مراسم عزاداری عاشورا در بریتانیا: امروز همزمان با شیعیان در سراسر جهان، شیعیان بریتانیا هم عزاداری کردند. http://t.co/nbF0E57c
30501,2011-12-06 20:05:37+00:00,bbcpersian,['http://bbc.in/vjEBwg'],راه اندازی سفارتخانه مجازی آمریکا در ایران: ایالات متحده آمریکا پس از بیشتر از سه دهه قطع روابط سیاسی با ایران، ... http://t.co/zydg5Afs
30502,2011-12-06 20:05:37+00:00,bbcpersian,['http://bbc.in/tj7MiC'],کشف سیاره شبه زمین توسط منجمان تایید شد: ستاره شناس ها سیاره‌ای کشف کرده اند که شبیه به زمین است. http://t.co/VBBJmma6
30503,2011-12-06 20:05:36+00:00,bbcpersian,['http://bbc.in/tVPa6z'],فشار سازمان ملل بر عراق در خصوص کمپ اشرف: شورای امنیت سازمان ملل متحد از دولت عراق خواسته در تصمیم اش برای بستن ... http://t.co/QYla61PH
30504,2011-12-06 19:33:30+00:00,bbcpersian,['http://bbc.in/rBy8PS'],ناظران می گویند، شما نظر دهید: معرفی وبلاگ تازه بی‌بی‌سی فارسی برای انتشار نظرات کارشناسان و تحلیلگران. http://t.co/YqPULMS3
30505,2011-12-06 19:01:30+00:00,bbcpersian,['http://bit.ly/sAgFtf'],حملات انتحاری به مراسم عاشورا در افغانستان؛ نظرات و مشاهدات شما: آیا شما یا اطرافیانتان مشاهداتی از این حملات دا... http://t.co/G4OeMDiO
30506,2011-12-06 19:01:30+00:00,bbcpersian,['http://bbc.in/uQJyDA'],حمله به  سفارت انگلیس؛ جایگاه اخلاق در حکومت ایران: حمله به  سفارت انگلیس؛ جایگاه اخلاق در حکومت ایران http://t.co/SjuXfqQX
30507,2011-12-06 19:01:29+00:00,bbcpersian,['http://bbc.in/v1XJmO'],سفارت مجازی آمریکا در ایران راه اندازی شد: سفارت مجازی ایالات متحده آمریکا در تهران امروز، سه شنبه (‌ششم دسامبر)... http://t.co/Xvze6mkS
30508,2011-12-06 19:01:29+00:00,bbcpersian,['http://bbc.in/tL1Y6b'],پوتین کاهش محبوبیت حزب خود در انتخابات را کم اهمیت خواند: ولادیمیر پوتین، نخست وزیر روسیه بعد از بزرگترین راهپیم... http://t.co/g3B4z4mt
30509,2011-12-06 19:01:28+00:00,bbcpersian,['http://bbc.in/sHfldD'],موتسارت گوش کنید تا تصادف نکنید: نتیجه تحقیق تازه ای می گوید موسیقی روی رانندگی انسان تاثیر می گذارد، http://t.co/1z46ZeRK
30510,2011-12-06 16:55:14+00:00,bbcpersian,['http://bbc.in/uAllHi'],حملات انتحاری به مراسم عاشورا در افغانستان: در افغانستان،  مراسم عزاداری امام سوم شیعیان به خون کشیده شد. http://t.co/xc7STh2d
30511,2011-12-06 16:55:14+00:00,bbcpersian,['http://bbc.in/vn6PLD'],هند مانع قرار گرفتن موضوعات 'توهین آمیز' بر روی اینترنت می شود: دولت هند گفته است علیه کسانی که موضوعاتی 'توهین ... http://t.co/FzxvKvnj
30512,2011-12-06 15:18:53+00:00,bbcpersian,['http://bbc.in/veP5Jo'],وزیر نفت ایران: از تحریم احتمالی اروپا نگران نیستیم: در حالی که وزیر نفت ایران می گوید که از تحریم احتمالی خرید ... http://t.co/R5t818wQ
30513,2011-12-06 14:14:00+00:00,bbcpersian,['http://bbc.in/trfGRo'],واکنشها به حملات انتحاری مراسم عاشورا در افغانستان: حملات روز عاشورا در کابل، مزار شریف و قندهار از سوی جناحهای ... http://t.co/LZ89bOO3
